resourceId,format,count,version,n,time,memory
46266,text/turtle,350,3.0.2.0,5,0.029555320739746,2
46266,application/n-triples,350,3.0.2.0,5,0.018013048171997,2
46266,application/ld+json,350,3.0.2.0,5,0.036983585357666,2
46266,application/rdf+xml,350,3.0.2.0,5,0.059037828445435,2
105024,text/turtle,738,3.0.2.0,5,0.038216352462769,2
105024,application/n-triples,738,3.0.2.0,5,0.022209167480469,2
105024,application/ld+json,738,3.0.2.0,5,0.060656642913818,4
105024,application/rdf+xml,738,3.0.2.0,5,0.11503939628601,2
66224,text/turtle,2319,3.0.2.0,5,0.08392539024353,2
66224,application/n-triples,2319,3.0.2.0,5,0.037142992019653,2
66224,application/ld+json,2319,3.0.2.0,5,0.48479905128479,8
66224,application/rdf+xml,2319,3.0.2.0,5,0.36905064582825,4
105858,text/turtle,4521,3.0.2.0,5,0.16884880065918,4
105858,application/n-triples,4521,3.0.2.0,5,0.064062976837158,2
105858,application/ld+json,4521,3.0.2.0,5,0.28233819007874,12
105858,application/rdf+xml,4521,3.0.2.0,5,0.98655118942261,8
46441,text/turtle,16253,3.0.2.0,5,0.58944683074951,8
46441,application/n-triples,16253,3.0.2.0,5,0.19172239303589,2
46441,application/ld+json,16253,3.0.2.0,5,0.9929235458374,40
46441,application/rdf+xml,16253,3.0.2.0,5,8.502442407608,26
75232,text/turtle,51279,3.0.2.0,5,1.754199552536,25
75232,application/n-triples,51279,3.0.2.0,5,0.58129000663757,6
75232,application/ld+json,51279,3.0.2.0,5,3.2238834381104,124
75232,application/rdf+xml,51279,3.0.2.0,5,34.081469202042,84
67345,text/turtle,141791,3.0.2.0,5,5.0424721717834,73
67345,application/n-triples,141791,3.0.2.0,5,1.9560476303101,14
67345,application/ld+json,141791,3.0.2.0,5,9.6970861911774,330
67345,application/rdf+xml,141791,3.0.2.0,5,18.12549996376,212
46266,text/turtle,350,2.0.4.0,5,0.03223180770874,2
46266,application/n-triples,350,2.0.4.0,5,0.017130947113037,2
46266,application/ld+json,350,2.0.4.0,5,0.037313985824585,2
46266,application/rdf+xml,350,2.0.4.0,5,0.061233997344971,2
105024,text/turtle,738,2.0.4.0,5,0.039331769943237,2
105024,application/n-triples,738,2.0.4.0,5,0.022008991241455,2
105024,application/ld+json,738,2.0.4.0,5,0.062069416046143,4
105024,application/rdf+xml,738,2.0.4.0,5,0.11588625907898,2
66224,text/turtle,2319,2.0.4.0,5,0.083744049072266,2
66224,application/n-triples,2319,2.0.4.0,5,0.036777019500732,2
66224,application/ld+json,2319,2.0.4.0,5,0.4937385559082,8
66224,application/rdf+xml,2319,2.0.4.0,5,0.36303100585937,4
105858,text/turtle,4521,2.0.4.0,5,0.17411804199219,4
105858,application/n-triples,4521,2.0.4.0,5,0.068009948730469,2
105858,application/ld+json,4521,2.0.4.0,5,0.28190298080444,12
105858,application/rdf+xml,4521,2.0.4.0,5,1.0124196529388,8
46441,text/turtle,16253,2.0.4.0,5,0.59451041221619,8
46441,application/n-triples,16253,2.0.4.0,5,0.19639768600464,2
46441,application/ld+json,16253,2.0.4.0,5,1.0209826469421,40
46441,application/rdf+xml,16253,2.0.4.0,5,8.6044723987579,26
75232,text/turtle,51279,2.0.4.0,5,1.7994669437408,25
75232,application/n-triples,51279,2.0.4.0,5,0.59788374900818,6
75232,application/ld+json,51279,2.0.4.0,5,3.233970785141,124
75232,application/rdf+xml,51279,2.0.4.0,5,34.630464172363,84
67345,text/turtle,141791,2.0.4.0,5,5.0766764163971,73
67345,application/n-triples,141791,2.0.4.0,5,1.9847389698029,14
